tdata,tkeep,tlast,tvalid
0x9a387a20ae740dbdd6f0b4a84986,0x3fff,0,1
0x367ed94f0a7af1157987b73b0208,0x3fff,0,1
0x7d322ebb55050817e3f72e5e8c8c,0x3fff,0,1
0xfdd86b936ec4d460d6038ee3faa8,0x3fff,0,1
0xc690ed24d294fa19b14d2c1f961b,0x3fff,0,1
0xfb6297ecf9ac5620ca2a8ace73ec,0x3fff,0,1
0x5b292802b060862f46d082e23744,0x3fff,0,1
0x08806959473a45eb86b82c7499f0,0x3fff,0,1
0xcce4d09be4d214db4c833559b8d6,0x3fff,0,1
0x2f4e90acdce4f9b485027c3d0dbc,0x3fff,0,1
0x609dfcd7f65f4ce1f732a82a27de,0x3fff,0,1
0xfa6f258fc6068cbe55b5db4cda41,0x3fff,0,1
0x8286b9506126cf749eb73b0fbe0e,0x3fff,0,1
0x11e2bb8dce3b60fc498721e51aa0,0x3fff,0,1
0xbc11412fc59d15eeab36504dc3a0,0x3fff,0,1
0xb39a530bc931f5ad287b41cf324e,0x3fff,0,1
0xb46c0a5b11d782132a823625d335,0x3fff,0,1
0x81b8123ff5eaa2b43e4337942466,0x3fff,0,1
0xdbf199517833d3fa70bcc3dd244b,0x3fff,0,1
0x94ea9f8746b4b5756712661d654e,0x3fff,0,1
0xb84747d4c42b4b38ecf68101f15f,0x3fff,0,1
0x60ac1c59f5d6a1038a67d40f59ee,0x3fff,0,1
0x51dc63df6eafe05f6cc7a34ca716,0x3fff,0,1
0xcedbac30a04aee35977dfc2401a3,0x3fff,0,1
0x6230ab83b31913de991366fb7c3c,0x3fff,0,1
0x79832c826ed5097a7cdb7e24d28f,0x3fff,0,1
0x17caf08d5b471b47ab76b0b38df0,0x3fff,0,1
0xa7824f8dbdfc157377cf87377ff4,0x3fff,0,1
0xad9b1491b17516423edb9fc79381,0x3fff,0,1
0xa1bcbea455921aaeb953b22a6e24,0x3fff,0,1
0x0a557f8591799b1cfedb38d5ffb4,0x3fff,0,1
0xc33134da86f7cc6a8b4ec03c850d,0x3fff,0,1
0x3ab4445d97ff281fad8bf115465e,0x3fff,0,1
0x22f87107adbf8715688698c4c745,0x3fff,0,1
0xf11a65ffe392f8a8f12c8488a968,0x3fff,0,1
0x8a83297140aa23ca7df2b6ed05c5,0x3fff,0,1
0xd85a110515800b086a08d7ea6c79,0x3fff,0,1
0x86f08275749cf89acf3b9140d02c,0x3fff,0,1
0x5343d59e032e82731903d5e6779b,0x3fff,0,1
0xbcd1a9496ae19a3abcfb8c235d9c,0x3fff,0,1
0xb860af3418446696deb4f1d05271,0x3fff,0,1
0x93af07d32bcbfeb630cea4922c14,0x3fff,0,1
0xe30ffc9d25f058d7684f3ed5fc5b,0x3fff,0,1
0x8603497e23cd602dcdcdf22b8928,0x3fff,0,1
0x5a8e2a1da8553cda8d2034c3ab84,0x3fff,0,1
0xe21fe1feb83bb2f1847095617351,0x3fff,0,1
0xdca77f5571ffff69cc71a4e3ab9e,0x3fff,0,1
0xfdbeaaafaf130f47ae145f2df4f8,0x3fff,0,1
0x4ee923bb91ee180eb01186ca7799,0x3fff,0,1
0xb2f00a24e21a5787311daa6eda0f,0x3fff,0,1
0xcb49be88c5626e3c844e649194e6,0x3fff,0,1
0x755c0aba572e02d6ee71578bbd6e,0x3fff,0,1
0xade877e0bee74e79df81f133bd77,0x3fff,0,1
0x387be503583c53a125465ebf190a,0x3fff,0,1
0x91ee5785046ce95b4b0d6daa6b67,0x3fff,0,1
0xf250f617fb654690f4896f7f9e38,0x3fff,0,1
0xdd79ffccb31903c78b0fe87221da,0x3fff,0,1
0x23abc27200369a65d073f467bf0a,0x3fff,0,1
0xacefeac6ac5dcbdc5e56c5e2c58e,0x3fff,0,1
0x259e42b83167ac335a632ff48a2b,0x3fff,0,1
0x3a1fdd7dcdb30ef0631c665526a3,0x3fff,0,1
0xa8fc6b67902451c989cf7282732e,0x3fff,0,1
0x913418f7a0827f1d8b2972398444,0x3fff,0,1
0x6e5ec03c4b09b096000000000000,0x3fc0,1,1
0xaa99021ac98433acbc8aeb9632b3,0x3fff,0,1
0x5b3419a7e37d58c15faaeb7ab52a,0x3fff,0,1
0x2bf1397c230c570af2cda094db57,0x3fff,0,1
0x511fb12653618349447457fb278e,0x3fff,0,1
0x79b791e8ca9599109dc145ad83a5,0x3fff,0,1
0x54b25f9b6548b32910e387a31c11,0x3fff,0,1
0xa05450b0ae5b7143d420b6a621f6,0x3fff,0,1
0x4ae7154daa759b90393b033b8e2e,0x3fff,0,1
0x132fb9c507132e02b0ba097eaa9d,0x3fff,0,1
0xd8dd3e1ee4736e7c8eb7412e1d83,0x3fff,0,1
0x6a2612d38d40300479e57af5fc1b,0x3fff,0,1
0x2846ace165ebbd6d7247c7199fff,0x3fff,0,1
0xf800000000000000000000000000,0x2000,1,1
0xe79d6e41943d2810dd8ac5e09847,0x3fff,0,1
0xa07fe58724aad453f4e1b830176a,0x3fff,0,1
0xf67fb83aa55548f0db410dc979fc,0x3fff,0,1
0x3f24b6eaf4a365f5d6de14c84e7e,0x3fff,0,1
0x09691dbc3cdb637ad5400356475a,0x3fff,0,1
0xdf1c8c9c5acfadb1314e9b165567,0x3fff,0,1
0xb3099c9e98bbd40636b02a6fcf76,0x3fff,0,1
0xd6cebf7e5a7bffa1b25f83425ef5,0x3fff,0,1
0x88d120df51d630dd2505d0820369,0x3fff,0,1
0x923dc82bbdd6100b70a6725ff777,0x3fff,0,1
0x3fa5849b0ed313ed0adb8ac92005,0x3fff,0,1
0x7e110542441386fbb1fe6920dd63,0x3fff,0,1
0x17df2c4944640bfe8a844ea4cad9,0x3fff,0,1
0x1a579e4e3faff5af4ec157dce3d2,0x3fff,0,1
0xba7081da6db1cdbf2ffef0d90106,0x3fff,0,1
0x91387949c6dadc9bc082b75a46f7,0x3fff,0,1
0x0df78f4ce035d19e62d1e192cc48,0x3fff,0,1
0x96a629b3b00ea124ee69aebf085c,0x3fff,0,1
0x88d67c9925cafed69cdadab558d4,0x3fff,0,1
